Time,node_load1,is_anomaly
2025/6/5 0:04,0.86,0
2025/6/5 0:04,0.52,0
2025/6/5 0:04,0.52,0
2025/6/5 0:05,0.47,0
2025/6/5 0:05,0.29,0
2025/6/5 0:05,0.29,0
2025/6/5 0:06,0.17,0
2025/6/5 0:06,0.18,0
2025/6/5 0:06,0.18,0
2025/6/5 0:07,0.11,1
2025/6/5 0:07,0.33,0
2025/6/5 0:07,0.33,0
2025/6/5 0:08,1.76,0
2025/6/5 0:08,1.23,0
2025/6/5 0:08,1.23,0
2025/6/5 0:09,0.74,0
2025/6/5 0:09,0.59,0
2025/6/5 0:09,0.59,0
2025/6/5 0:10,0.36,0
2025/6/5 0:10,0.22,0
2025/6/5 0:10,0.22,0
2025/6/5 0:11,0.27,0
2025/6/5 0:11,0.22,0
2025/6/5 0:11,0.22,0
2025/6/5 0:12,0.2,0
2025/6/5 0:12,0.25,0
2025/6/5 0:12,0.25,0
2025/6/5 0:13,0.49,0
2025/6/5 0:13,0.41,0
2025/6/5 0:13,0.41,0
2025/6/5 0:14,0.44,0
2025/6/5 0:14,0.32,0
2025/6/5 0:14,0.32,0
2025/6/5 0:15,0.38,0
2025/6/5 0:15,0.46,0
2025/6/5 0:15,0.46,0
2025/6/5 0:16,0.74,0
2025/6/5 0:16,0.93,0
2025/6/5 0:16,0.93,0
2025/6/5 0:17,0.82,0
2025/6/5 0:17,1.36,0
2025/6/5 0:17,1.36,0
2025/6/5 0:18,0.83,0
2025/6/5 0:18,0.7,0
2025/6/5 0:18,0.7,0
2025/6/5 0:19,0.48,0
2025/6/5 0:19,0.61,0
2025/6/5 0:19,0.61,0
2025/6/5 0:20,0.37,0
2025/6/5 0:20,0.35,0
2025/6/5 0:20,0.35,0
2025/6/5 0:21,0.21,0
2025/6/5 0:21,0.13,0
2025/6/5 0:21,0.13,0
2025/6/5 0:22,0.14,0
2025/6/5 0:22,0.09,1
2025/6/5 0:22,0.09,1
2025/6/5 0:23,0.05,1
2025/6/5 0:23,0.09,1
2025/6/5 0:23,0.09,1
2025/6/5 0:24,0.55,0
2025/6/5 0:24,0.49,0
2025/6/5 0:24,0.49,0
2025/6/5 0:25,0.3,0
2025/6/5 0:25,0.25,0
2025/6/5 0:25,0.25,0
2025/6/5 0:26,0.23,0
2025/6/5 0:26,0.19,0
2025/6/5 0:26,0.19,0
2025/6/5 0:27,0.11,1
2025/6/5 0:27,0.18,0
2025/6/5 0:27,0.18,0
2025/6/5 0:28,0.24,0
2025/6/5 0:28,0.4,0
2025/6/5 0:28,0.4,0
2025/6/5 0:29,0.3,0
2025/6/5 0:29,0.18,0
2025/6/5 0:29,0.18,0
2025/6/5 0:30,0.81,0
2025/6/5 0:30,0.49,0
2025/6/5 0:30,0.49,0
2025/6/5 0:31,0.3,0
2025/6/5 0:31,0.41,0
2025/6/5 0:31,0.41,0
2025/6/5 0:32,0.25,0
2025/6/5 0:32,0.22,0
2025/6/5 0:32,0.22,0
2025/6/5 0:33,0.19,0
2025/6/5 0:33,0.24,0
2025/6/5 0:33,0.24,0
2025/6/5 0:34,0.15,0
2025/6/5 0:34,0.28,0
2025/6/5 0:34,0.28,0
2025/6/5 0:35,0.41,0
2025/6/5 0:35,0.36,0
2025/6/5 0:35,0.36,0
2025/6/5 0:36,0.27,0
2025/6/5 0:36,0.31,0
2025/6/5 0:36,0.31,0
2025/6/5 0:37,0.19,0
2025/6/5 0:37,0.11,1
2025/6/5 0:37,0.11,1
2025/6/5 0:38,0.18,0
2025/6/5 0:38,0.55,0
2025/6/5 0:38,0.55,0
2025/6/5 0:39,0.82,0
2025/6/5 0:39,0.49,0
2025/6/5 0:39,0.49,0
2025/6/5 0:40,0.3,0
2025/6/5 0:40,0.33,0
2025/6/5 0:40,0.33,0
2025/6/5 0:41,0.36,0
2025/6/5 0:41,0.3,0
2025/6/5 0:41,0.3,0
2025/6/5 0:42,0.18,0
2025/6/5 0:42,0.11,1
2025/6/5 0:42,0.11,1
2025/6/5 0:43,0.06,1
2025/6/5 0:43,0.04,1
2025/6/5 0:43,0.04,1
2025/6/5 0:44,1.6,0
2025/6/5 0:44,1.21,0
2025/6/5 0:44,1.21,0
2025/6/5 0:45,0.94,0
2025/6/5 0:45,0.97,0
2025/6/5 0:45,0.97,0
2025/6/5 0:46,0.59,0
2025/6/5 0:46,1.31,0
2025/6/5 0:46,1.31,0
2025/6/5 0:47,0.79,0
2025/6/5 0:47,0.48,0
2025/6/5 0:47,0.48,0
2025/6/5 0:48,0.29,0
2025/6/5 0:48,0.3,0
2025/6/5 0:48,0.3,0
2025/6/5 0:49,0.18,0
2025/6/5 0:49,0.24,0
2025/6/5 0:49,0.24,0
2025/6/5 0:50,0.27,0
2025/6/5 0:50,0.42,0
2025/6/5 0:50,0.42,0
2025/6/5 0:51,0.26,0
2025/6/5 0:51,0.22,0
2025/6/5 0:51,0.22,0
2025/6/5 0:52,0.28,0
2025/6/5 0:52,0.47,0
2025/6/5 0:52,0.47,0
2025/6/5 0:53,0.86,0
2025/6/5 0:53,0.8,0
2025/6/5 0:53,0.8,0
2025/6/5 0:54,0.67,0
2025/6/5 0:54,0.66,0
2025/6/5 0:54,0.66,0
2025/6/5 0:55,0.52,0
2025/6/5 0:55,0.38,0
2025/6/5 0:55,0.38,0
2025/6/5 0:56,0.23,0
2025/6/5 0:56,0.19,0
2025/6/5 0:56,0.19,0
2025/6/5 0:57,0.24,0
2025/6/5 0:57,0.14,0
2025/6/5 0:57,0.14,0
2025/6/5 0:58,0.09,1
2025/6/5 0:58,0.11,1
2025/6/5 0:58,0.11,1
2025/6/5 0:59,0.2,0
2025/6/5 0:59,0.56,0
2025/6/5 0:59,0.56,0
2025/6/5 1:00,0.42,0
2025/6/5 1:00,0.57,0
2025/6/5 1:00,0.57,0
2025/6/5 1:01,0.45,0
2025/6/5 1:01,0.27,0
2025/6/5 1:01,0.27,0
2025/6/5 1:02,0.47,0
2025/6/5 1:02,0.28,0
2025/6/5 1:02,0.28,0
2025/6/5 1:03,0.17,0
2025/6/5 1:03,0.1,1
2025/6/5 1:03,0.1,1
2025/6/5 1:04,0.06,1
2025/6/5 1:04,0.1,1
2025/6/5 1:04,0.1,1
2025/6/5 1:05,0.2,0
2025/6/5 1:05,0.52,0
2025/6/5 1:05,0.52,0
2025/6/5 1:06,0.37,0
2025/6/5 1:06,0.27,0
2025/6/5 1:06,0.27,0
2025/6/5 1:07,0.25,0
2025/6/5 1:07,0.15,0
2025/6/5 1:07,0.15,0
2025/6/5 1:08,0.16,0
2025/6/5 1:08,0.1,1
2025/6/5 1:08,0.1,1
2025/6/5 1:09,0.06,1
2025/6/5 1:09,0.15,0
2025/6/5 1:09,0.15,0
2025/6/5 1:10,0.17,0
2025/6/5 1:10,0.3,0
2025/6/5 1:10,0.3,0
2025/6/5 1:11,0.18,0
2025/6/5 1:11,0.27,0
2025/6/5 1:11,0.27,0
2025/6/5 1:12,0.22,0
2025/6/5 1:12,0.26,0
2025/6/5 1:12,0.26,0
2025/6/5 1:13,0.15,0
2025/6/5 1:13,0.09,1
2025/6/5 1:13,0.09,1
2025/6/5 1:14,0.06,1
2025/6/5 1:14,0.11,1
2025/6/5 1:14,0.11,1
2025/6/5 1:15,0.12,1
2025/6/5 1:15,0.12,1
2025/6/5 1:15,0.12,1
2025/6/5 1:16,0.56,0
2025/6/5 1:16,1.42,0
2025/6/5 1:16,1.42,0
2025/6/5 1:17,2.89,1
2025/6/5 1:17,1.75,0
2025/6/5 1:17,1.75,0
2025/6/5 1:18,1.06,0
2025/6/5 1:18,0.64,0
2025/6/5 1:18,0.64,0
2025/6/5 1:19,0.45,0
2025/6/5 1:19,0.35,0
2025/6/5 1:19,0.35,0
2025/6/5 1:20,0.34,0
2025/6/5 1:20,0.33,0
2025/6/5 1:20,0.33,0
2025/6/5 1:21,0.68,0
2025/6/5 1:21,0.57,0
2025/6/5 1:21,0.57,0
2025/6/5 1:22,0.34,0
2025/6/5 1:22,0.76,0
2025/6/5 1:22,0.76,0
2025/6/5 1:23,0.46,0
2025/6/5 1:23,0.28,0
2025/6/5 1:23,0.28,0
2025/6/5 1:24,0.17,0
2025/6/5 1:24,0.1,1
2025/6/5 1:24,0.1,1
2025/6/5 1:25,0.51,0
2025/6/5 1:25,0.37,0
2025/6/5 1:25,0.37,0
2025/6/5 1:26,1.07,0
2025/6/5 1:26,0.73,0
2025/6/5 1:26,0.73,0
2025/6/5 1:27,0.65,0
2025/6/5 1:27,0.45,0
2025/6/5 1:27,0.45,0
2025/6/5 1:28,0.56,0
2025/6/5 1:28,2.23,0
2025/6/5 1:28,2.23,0
2025/6/5 1:29,1.41,0
2025/6/5 1:29,0.98,0
2025/6/5 1:29,0.98,0
2025/6/5 1:30,0.66,0
2025/6/5 1:30,0.53,0
2025/6/5 1:30,0.53,0
2025/6/5 1:31,0.44,0
2025/6/5 1:31,0.99,0
2025/6/5 1:31,0.99,0
2025/6/5 1:32,0.6,0
2025/6/5 1:32,0.36,0
2025/6/5 1:32,0.36,0
2025/6/5 1:33,0.22,0
2025/6/5 1:33,0.21,0
2025/6/5 1:33,0.21,0
2025/6/5 1:34,1.25,0
2025/6/5 1:34,0.82,0
2025/6/5 1:34,0.82,0
2025/6/5 1:35,0.5,0
2025/6/5 1:35,0.3,0
2025/6/5 1:35,0.3,0
2025/6/5 1:36,0.39,0
2025/6/5 1:36,0.24,0
2025/6/5 1:36,0.24,0
2025/6/5 1:37,0.73,0
